[Build.BRAND]: [MTK]
[aaudio.mmap_exclusive_policy]: [2]
[aaudio.mmap_policy]: [2]
[bluetooth.device.class_of_device]: [90,2,12]
[bluetooth.profile.a2dp.source.enabled]: [true]
[bluetooth.profile.asha.central.enabled]: [false]
[bluetooth.profile.avrcp.target.enabled]: [true]
[bluetooth.profile.bap.broadcast.assist.enabled]: [false]
[bluetooth.profile.bap.broadcast.source.enabled]: [false]
[bluetooth.profile.bap.unicast.client.enabled]: [false]
[bluetooth.profile.bas.client.enabled]: [false]
[bluetooth.profile.ccp.server.enabled]: [false]
[bluetooth.profile.csip.set_coordinator.enabled]: [false]
[bluetooth.profile.gatt.enabled]: [true]
[bluetooth.profile.hap.client.enabled]: [false]
[bluetooth.profile.hfp.ag.enabled]: [true]
[bluetooth.profile.hid.device.enabled]: [true]
[bluetooth.profile.hid.host.enabled]: [true]
[bluetooth.profile.map.server.enabled]: [true]
[bluetooth.profile.mcp.server.enabled]: [false]
[bluetooth.profile.opp.enabled]: [true]
[bluetooth.profile.pan.nap.enabled]: [true]
[bluetooth.profile.pan.panu.enabled]: [true]
[bluetooth.profile.pbap.server.enabled]: [true]
[bluetooth.profile.sap.server.enabled]: [true]
[bluetooth.profile.vcp.controller.enabled]: [false]
[bootreceiver.enable]: [0]
[build.version.extensions.ad_services]: [13]
[build.version.extensions.r]: [12]
[build.version.extensions.s]: [12]
[build.version.extensions.t]: [12]
[cache_key.bluetooth.bluetooth_adapter_get_connection_state]: [4589787424389820751]
[cache_key.bluetooth.bluetooth_adapter_get_profile_connection_state]: [4589787424389820752]
[cache_key.bluetooth.bluetooth_adapter_get_state]: [4589787424389820753]
[cache_key.bluetooth.bluetooth_adapter_is_offloaded_filtering_supported]: [4589787424389820746]
[cache_key.bluetooth.bluetooth_device_get_bond_state]: [4589787424389820743]
[cache_key.bluetooth.bluetooth_map_get_connection_state]: [4589787424389820749]
[cache_key.bluetooth.bluetooth_sap_get_connection_state]: [4589787424389820750]
[cache_key.display_info]: [3854446412193115603]
[cache_key.get_packages_for_uid]: [3854446412193116232]
[cache_key.has_system_feature]: [3854446412193115444]
[cache_key.is_compat_change_enabled]: [3854446412193116237]
[cache_key.is_interactive]: [3854446412193115593]
[cache_key.is_power_save_mode]: [3854446412193116186]
[cache_key.is_user_unlocked]: [3854446412193115616]
[cache_key.location_enabled]: [3854446412193115460]
[cache_key.package_info]: [3854446412193116238]
[cache_key.system_server.account_user_data]: [3854446412193116246]
[cache_key.system_server.accounts_data]: [3854446412193115636]
[cache_key.system_server.device_policy_manager_caches]: [3854446412193115609]
[cache_key.system_server.get_credential_type]: [3854446412193115958]
[cache_key.telephony.get_active_data_sub_id]: [6890474367435379468]
[cache_key.telephony.get_default_data_sub_id]: [6890474367435379467]
[cache_key.telephony.get_default_sms_sub_id]: [6890474367435379473]
[cache_key.telephony.get_default_sub_id]: [6890474367435379471]
[cache_key.telephony.get_slot_index]: [6890474367435379472]
[cache_key.telephony.phone_account_to_subid]: [6890474367435379474]
[camera.disable_zsl_mode]: [1]
[com.samsung.speg.prelauncher.disable]: [true]
[dalvik.vm.appimageformat]: [lz4]
[dalvik.vm.dex2oat-Xms]: [64m]
[dalvik.vm.dex2oat-Xmx]: [512m]
[dalvik.vm.dex2oat-max-image-block-size]: [524288]
[dalvik.vm.dex2oat-minidebuginfo]: [true]
[dalvik.vm.dex2oat-resolve-startup-strings]: [true]
[dalvik.vm.dexopt.secondary]: [true]
[dalvik.vm.dexopt.thermal-cutoff]: [2]
[dalvik.vm.finalizer-timeout-ms]: [60000]
[dalvik.vm.heapgrowthlimit]: [256m]
[dalvik.vm.heapmaxfree]: [8m]
[dalvik.vm.heapminfree]: [2m]
[dalvik.vm.heapsize]: [512m]
[dalvik.vm.heapstartsize]: [8m]
[dalvik.vm.heaptargetutilization]: [0.75]
[dalvik.vm.image-dex2oat-Xms]: [64m]
[dalvik.vm.image-dex2oat-Xmx]: [64m]
[dalvik.vm.isa.arm.features]: [default]
[dalvik.vm.isa.arm.variant]: [cortex-a55]
[dalvik.vm.isa.arm64.features]: [default]
[dalvik.vm.isa.arm64.variant]: [cortex-a55]
[dalvik.vm.lockprof.threshold]: [500]
[dalvik.vm.madvise.artfile.size]: [4294967295]
[dalvik.vm.madvise.odexfile.size]: [104857600]
[dalvik.vm.madvise.vdexfile.size]: [104857600]
[dalvik.vm.minidebuginfo]: [true]
[dalvik.vm.mtk-stack-trace-file]: [/data/anr/mtk_traces.txt]
[dalvik.vm.usejit]: [true]
[dalvik.vm.usejitprofiles]: [true]
[debug.atrace.tags.enableflags]: [0]
[debug.force_rtl]: [false]
[debug.mediatek.appgamepq_compress]: [1]
[debug.mediatek.disp_decompress]: [1]
[debug.mtk_tflite.target_nnapi]: [29]
[debug.renderengine.backend]: [skiagl]
[debug.sf.disable_backpressure]: [1]
[debug.sf.enable_hwc_vds]: [0]
[debug.sf.enable_transaction_tracing]: [false]
[debug.sf.latch_unsignaled]: [true]
[debug.sf.predict_hwc_composition_strategy]: [0]
[debug.tracing.screen_brightness]: [0.18039216]
[debug.tracing.screen_state]: [2]
[dev.boot_count]: [0]
[dev.bootcomplete]: [1]
[dev.mnt.blk.cache]: [sdc55]
[dev.mnt.blk.data]: [sdc58]
[dev.mnt.blk.data.user.0]: [sdc58]
[dev.mnt.blk.data_mirror.cur_profiles]: [sdc58]
[dev.mnt.blk.data_mirror.data_ce.null]: [sdc58]
[dev.mnt.blk.data_mirror.data_ce.null.0]: [sdc58]
[dev.mnt.blk.data_mirror.data_de.null]: [sdc58]
[dev.mnt.blk.data_mirror.ref_profiles]: [sdc58]
[dev.mnt.blk.efs]: [sdc3]
[dev.mnt.blk.metadata]: [sdc31]
[dev.mnt.blk.mnt.vendor.efs]: [sdc2]
[dev.mnt.blk.mnt.vendor.nvcfg]: [sdc29]
[dev.mnt.blk.mnt.vendor.nvdata]: [sdc30]
[dev.mnt.blk.mnt.vendor.protect_f]: [sdc20]
[dev.mnt.blk.mnt.vendor.protect_s]: [sdc21]
[dev.mnt.blk.odm]: [sdc52]
[dev.mnt.blk.omr]: [sdc56]
[dev.mnt.blk.optics]: [sdc54]
[dev.mnt.blk.prism]: [sdc53]
[dev.mnt.blk.product]: [sdc52]
[dev.mnt.blk.root]: [sdc52]
[dev.mnt.blk.vendor]: [sdc52]
[dev.mnt.dev.cache]: [sdc55]
[dev.mnt.dev.data]: [dm-47]
[dev.mnt.dev.data.user.0]: [dm-47]
[dev.mnt.dev.data_mirror.cur_profiles]: [dm-47]
[dev.mnt.dev.data_mirror.data_ce.null]: [dm-47]
[dev.mnt.dev.data_mirror.data_ce.null.0]: [dm-47]
[dev.mnt.dev.data_mirror.data_de.null]: [dm-47]
[dev.mnt.dev.data_mirror.ref_profiles]: [dm-47]
[dev.mnt.dev.efs]: [sdc3]
[dev.mnt.dev.metadata]: [sdc31]
[dev.mnt.dev.mnt.vendor.efs]: [sdc2]
[dev.mnt.dev.mnt.vendor.nvcfg]: [sdc29]
[dev.mnt.dev.mnt.vendor.nvdata]: [sdc30]
[dev.mnt.dev.mnt.vendor.protect_f]: [sdc20]
[dev.mnt.dev.mnt.vendor.protect_s]: [sdc21]
[dev.mnt.dev.odm]: [dm-7]
[dev.mnt.dev.omr]: [sdc56]
[dev.mnt.dev.optics]: [dm-9]
[dev.mnt.dev.prism]: [dm-8]
[dev.mnt.dev.product]: [dm-6]
[dev.mnt.dev.root]: [dm-4]
[dev.mnt.dev.vendor]: [dm-5]
[dev.mnt.rootdisk.cache]: [sdc]
[dev.mnt.rootdisk.data]: [sdc]
[dev.mnt.rootdisk.data.user.0]: [sdc]
[dev.mnt.rootdisk.data_mirror.cur_profiles]: [sdc]
[dev.mnt.rootdisk.data_mirror.data_ce.null]: [sdc]
[dev.mnt.rootdisk.data_mirror.data_ce.null.0]: [sdc]
[dev.mnt.rootdisk.data_mirror.data_de.null]: [sdc]
[dev.mnt.rootdisk.data_mirror.ref_profiles]: [sdc]
[dev.mnt.rootdisk.efs]: [sdc]
[dev.mnt.rootdisk.metadata]: [sdc]
[dev.mnt.rootdisk.mnt.vendor.efs]: [sdc]
[dev.mnt.rootdisk.mnt.vendor.nvcfg]: [sdc]
[dev.mnt.rootdisk.mnt.vendor.nvdata]: [sdc]
[dev.mnt.rootdisk.mnt.vendor.protect_f]: [sdc]
[dev.mnt.rootdisk.mnt.vendor.protect_s]: [sdc]
[dev.mnt.rootdisk.odm]: [sdc]
[dev.mnt.rootdisk.omr]: [sdc]
[dev.mnt.rootdisk.optics]: [sdc]
[dev.mnt.rootdisk.prism]: [sdc]
[dev.mnt.rootdisk.product]: [sdc]
[dev.mnt.rootdisk.root]: [sdc]
[dev.mnt.rootdisk.vendor]: [sdc]
[dev.sdhms.hp]: [1]
[dev.sdhms.ltb]: [0,530:5,594:23,496:PALM:]
[dev.sdhms.ss]: [0,750:5,814:23,623:]
[dev.ssrm.init]: [1]
[dev.ssrm.turbo]: [false]
[dev.ssrm.version]: [4.0]
[dumpstate.is_running]: [0]
[gsm.current.phone-type]: [1,1]
[gsm.network.type]: [GSM,Unknown]
[gsm.operator.alpha]: [,]
[gsm.operator.iso-country]: [de,]
[gsm.operator.isroaming]: [false,false]
[gsm.operator.numeric]: [26201,]
[gsm.sim.operator.numeric]: []
[gsm.sim.state]: [ABSENT,ABSENT]
[gsm.version.baseband]: [A346BXXU3AWF3,A346BXXU3AWF3]
[gsm.version.ril-impl]: [Samsung RIL v5.0]
[hwservicemanager.ready]: [true]
[init.svc.BCS-daemon]: [running]
[init.svc.DR-daemon]: [running]
[init.svc.SMD-daemon]: [running]
[init.svc.adbd]: [running]
[init.svc.adsp_log]: [running]
[init.svc.agpsd]: [running]
[init.svc.android-hardware-media-c2-hal-1-2]: [running]
[init.svc.apexd]: [stopped]
[init.svc.apexd-bootstrap]: [stopped]
[init.svc.apexd-snapshotde]: [stopped]
[init.svc.at_distributor]: [stopped]
[init.svc.audioserver]: [running]
[init.svc.auditd]: [running]
[init.svc.batterywarning]: [running]
[init.svc.bluetooth-1-1]: [running]
[init.svc.bootanim]: [stopped]
[init.svc.bootchecker]: [stopped]
[init.svc.bootchecker-bootc]: [stopped]
[init.svc.bootlogoupdater]: [stopped]
[init.svc.boringssl_self_test32]: [stopped]
[init.svc.boringssl_self_test32_vendor]: [stopped]
[init.svc.boringssl_self_test64]: [stopped]
